  0.00s  INFO Bundling project...
 22.30s  INFO Compiled [345/389]: objc2_web_kit
 22.36s  INFO Compiled [346/389]: dunce
 22.36s  INFO Compiled [347/389]: macro_string
 22.45s  INFO Compiled [348/389]: regex_automata
 22.48s  INFO Compiled [349/389]: thread_local
 22.51s  INFO Compiled [350/389]: raw_window_handle
 23.26s  INFO Compiled [351/389]: manganis_macro
 23.42s  INFO Compiled [352/389]: rav1e
 23.70s  INFO Compiled [354/389]: muda
 23.84s  INFO Compiled [355/389]: winnow
 23.89s  INFO Compiled [356/389]: png
 24.17s  INFO Compiled [357/389]: signal_hook
 24.61s  INFO Compiled [358/389]: exr
 24.65s  INFO Compiled [359/389]: pxfm
 25.12s  INFO Compiled [360/389]: dioxus_asset_resolver
 25.33s  INFO Compiled [361/389]: tokio
 25.37s  INFO Compiled [362/389]: tray_icon
 25.49s  INFO Compiled [363/389]: manganis_core
 25.74s  INFO Compiled [364/389]: webbrowser
 26.34s  INFO Compiled [365/389]: dioxus_interpreter_js
 26.56s  INFO Compiled [366/389]: dioxus_history
 26.61s  INFO Compiled [367/389]: tao
 26.73s  INFO Compiled [368/389]: cocoa
 26.83s  INFO Compiled [369/389]: subtle
 26.86s  INFO Compiled [370/389]: tracing_subscriber
 26.87s  INFO Compiled [371/389]: dunce
 26.97s  INFO Compiled [372/389]: base64
 27.00s  INFO Compiled [373/389]: dioxus_stores_macro
 27.08s  INFO Compiled [374/389]: dioxus_document
 27.10s  INFO Compiled [375/389]: global_hotkey
 27.16s  INFO Compiled [376/389]: dioxus_config_macros
 27.30s  INFO Compiled [377/389]: dioxus_config_macro
 27.31s  INFO Compiled [378/389]: manganis
 27.42s  INFO Compiled [379/389]: wry
 27.49s  INFO Compiled [380/389]: rfd
 27.74s  INFO Compiled [381/389]: dioxus_devtools
 28.19s  INFO Compiled [382/389]: dioxus_logger
 28.64s  INFO Compiled [383/389]: dioxus
 28.66s  INFO Compiled [384/389]: dioxus_stores
 28.90s  INFO Compiled [385/389]: moxcms
 31.76s  INFO Compiled [386/389]: ravif
 33.11s  INFO Compiled [387/389]: dioxus_desktop
 33.52s  INFO Compiled [388/389]: image
 34.00s  INFO Compiled [389/389]: dioxus-app
 34.01s  INFO Bundling app...
 34.03s  INFO Running package bundler...
 34.03s  INFO Creating macOS .app bundle at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp.app
 34.03s  INFO Copying existing .icns file: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/icon.icns
 34.03s  INFO Creating DMG at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp_0.1.0_aarch64.dmg
created: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp_0.1.0_aarch64.dmg
 39.08s  INFO DMG created at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp_0.1.0_aarch64.dmg
 39.08s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp.app
 39.08s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp_0.1.0_aarch64.dmg
Bundled 2 bundles:
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp.app
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-app/target/dx/dioxus-app/bundle/macos/macos/DioxusApp_0.1.0_aarch64.dmg
real 39.10
user 277.32
sys 15.82
