  0.00s  INFO Bundling project...
 12.13s  INFO Compiled [318/544]: rgb
 12.16s  INFO Compiled [319/544]: fontdb
 12.20s  INFO Compiled [320/544]: once_cell
 12.20s  INFO Compiled [321/544]: icu_properties
 12.52s  INFO Compiled [324/544]: euclid
 12.63s  INFO Compiled [325/544]: hashbrown
 12.64s  INFO Compiled [326/544]: simd_helpers
 12.67s  INFO Compiled [328/544]: num_derive
 12.68s  INFO Compiled [329/544]: memmap2
 12.75s  INFO Compiled [331/544]: debug_unreachable
 12.77s  INFO Compiled [332/544]: unicode_vo
 12.79s  INFO Compiled [333/544]: imgref
 12.81s  INFO Compiled [334/544]: itertools
 12.81s  INFO Compiled [335/544]: linebender_resource_handle
 12.93s  INFO Compiled [336/544]: build-script-build
 12.95s  INFO Compiled [337/544]: build-script-build
 13.05s  INFO Compiled [338/544]: simplecss
 13.10s  INFO Compiled [339/544]: noop_proc_macro
 13.20s  INFO Compiled [340/544]: roxmltree
 13.24s  INFO Compiled [341/544]: unicode_width
 13.32s  INFO Compiled [342/544]: xmlwriter
 13.35s  INFO Compiled [343/544]: data_url
 13.43s  INFO Compiled [344/544]: quick_error
 13.48s  INFO Compiled [345/544]: pico_args
 13.49s  INFO Compiled [346/544]: weezl
 13.53s  INFO Compiled [347/544]: base64
 13.54s  INFO Compiled [348/544]: unicode_bidi
 13.55s  INFO Compiled [349/544]: parlance
 13.58s  INFO Compiled [350/544]: color_quant
 13.59s  INFO Compiled [351/544]: imagesize
 14.24s  INFO Compiled [353/544]: getopts
 14.28s  INFO Compiled [354/544]: objc2_foundation
 14.33s  INFO Compiled [356/544]: loop9
 14.34s  INFO Compiled [357/544]: thiserror
 14.38s  INFO Compiled [358/544]: icu_decimal_data
 14.45s  INFO Compiled [359/544]: field_offset
 14.51s  INFO Compiled [360/544]: idna_adapter
 14.55s  INFO Compiled [361/544]: lyon_geom
 14.69s  INFO Compiled [362/544]: gif
 14.71s  INFO Compiled [363/544]: zmij
 14.85s  INFO Compiled [364/544]: icu_segmenter_data
 15.09s  INFO Compiled [365/544]: proc_macro_crate
 15.14s  INFO Compiled [366/544]: lyon_path
 15.58s  INFO Compiled [367/544]: serde_core
 15.61s  INFO Compiled [368/544]: image_webp
 15.75s  INFO Compiled [369/544]: fixed_decimal
 15.91s  INFO Compiled [370/544]: const_field_offset_macro
 15.92s  INFO Compiled [371/544]: foreign_types_macros
 16.09s  INFO Compiled [373/544]: zune_inflate
 16.18s  INFO Compiled [374/544]: core_foundation
 16.26s  INFO Compiled [375/544]: avif_serialize
 16.27s  INFO Compiled [376/544]: fontique
 16.32s  INFO Compiled [377/544]: pulldown_cmark_escape
 16.36s  INFO Compiled [378/544]: bitflags
 16.37s  INFO Compiled [379/544]: build-script-build
 16.43s  INFO Compiled [380/544]: itoa
 16.48s  INFO Compiled [381/544]: foreign_types_shared
 16.66s  INFO Compiled [382/544]: unicode_segmentation
 16.85s  INFO Compiled [383/544]: snafu_derive
 16.99s  INFO Compiled [384/544]: raw_window_handle
 17.00s  INFO Compiled [385/544]: zeno
 17.06s  INFO Compiled [386/544]: bit_field
 17.09s  INFO Compiled [387/544]: rav1e
 17.12s  INFO Compiled [388/544]: fax
 17.14s  INFO Compiled [389/544]: percent_encoding
 17.15s  INFO Compiled [390/544]: rustybuzz
 17.21s  INFO Compiled [391/544]: lebe
 17.21s  INFO Compiled [392/544]: pin_project_lite
 17.37s  INFO Compiled [393/544]: unicase
 17.54s  INFO Compiled [394/544]: tracing_core
 17.57s  INFO Compiled [395/544]: read_fonts
 17.71s  INFO Compiled [396/544]: tracing
 17.73s  INFO Compiled [397/544]: objc2_app_kit
 18.11s  INFO Compiled [398/544]: pxfm
 18.14s  INFO Compiled [399/544]: yazi
 18.20s  INFO Compiled [400/544]: form_urlencoded
 18.62s  INFO Compiled [401/544]: snafu
 18.83s  INFO Compiled [402/544]: exr
 18.90s  INFO Compiled [403/544]: tiff
 19.03s  INFO Compiled [404/544]: tiny_skia
 19.17s  INFO Compiled [405/544]: foreign_types
 19.25s  INFO Compiled [406/544]: core_graphics_types
 19.44s  INFO Compiled [408/544]: serde_json
 19.71s  INFO Compiled [409/544]: const_field_offset
 19.76s  INFO Compiled [410/544]: icu_decimal
 20.16s  INFO Compiled [411/544]: skrifa
 20.27s  INFO Compiled [412/544]: num_enum_derive
 20.40s  INFO Compiled [413/544]: lyon_path
 20.56s  INFO Compiled [414/544]: pulldown_cmark
 20.60s  INFO Compiled [415/544]: idna
 20.70s  INFO Compiled [416/544]: parley_data
 20.72s  INFO Compiled [417/544]: rustversion
 20.75s  INFO Compiled [418/544]: moxcms
 20.76s  INFO Compiled [419/544]: ravif
 20.78s  INFO Compiled [420/544]: derive_more
 20.85s  INFO Compiled [421/544]: qoi
 20.92s  INFO Compiled [422/544]: derive_utils
 20.95s  INFO Compiled [423/544]: iana_time_zone
 20.96s  INFO Compiled [424/544]: icu_segmenter
 21.02s  INFO Compiled [425/544]: countme
 21.15s  INFO Compiled [426/544]: vtable_macro
 21.16s  INFO Compiled [427/544]: build-script-build
 21.19s  INFO Compiled [428/544]: rustc_hash
 21.25s  INFO Compiled [429/544]: uuid
 21.28s  INFO Compiled [430/544]: unicode_linebreak
 21.35s  INFO Compiled [431/544]: linked_hash_map
 21.38s  INFO Compiled [432/544]: dpi
 21.41s  INFO Compiled [433/544]: pin_project_internal
 21.44s  INFO Compiled [434/544]: hashbrown
 21.47s  INFO Compiled [435/544]: anstyle
 21.48s  INFO Compiled [436/544]: text_size
 21.51s  INFO Compiled [437/544]: natord
 21.56s  INFO Compiled [438/544]: lazy_static
 21.62s  INFO Compiled [439/544]: yazi
 21.67s  INFO Compiled [440/544]: build-script-build
 21.68s  INFO Compiled [441/544]: build-script-build
 21.71s  INFO Compiled [442/544]: htmlparser
 21.77s  INFO Compiled [443/544]: build-script-build
