  0.00s  INFO Bundling project...
 22.34s  INFO Compiled [483/630]: heck
 22.39s  INFO Compiled [484/630]: noop_proc_macro
 22.49s  INFO Compiled [485/630]: serde_json
 22.66s  INFO Compiled [486/630]: futures_lite
 22.84s  INFO Compiled [487/630]: weezl
 22.94s  INFO Compiled [488/630]: which
 23.11s  INFO Compiled [489/630]: dtor
 23.41s  INFO Compiled [490/630]: mime_guess
 23.46s  INFO Compiled [491/630]: svgtypes
 23.47s  INFO Compiled [492/630]: loop9
 23.55s  INFO Compiled [493/630]: dirs_sys
 23.67s  INFO Compiled [494/630]: tower
 23.75s  INFO Compiled [495/630]: kurbo
 23.87s  INFO Compiled [496/630]: zune_jpeg
 23.93s  INFO Compiled [497/630]: dirs
 24.12s  INFO Compiled [499/630]: hidden_trait
 24.15s  INFO Compiled [500/630]: io_surface
 24.17s  INFO Compiled [501/630]: psm
 24.43s  INFO Compiled [502/630]: proc_macro_error2
 24.46s  INFO Compiled [503/630]: cbindgen
 24.56s  INFO Compiled [504/630]: fontdb
 24.64s  INFO Compiled [505/630]: pathfinder_simd
 24.87s  INFO Compiled [506/630]: system_configuration
 25.01s  INFO Compiled [507/630]: async_zip
 25.07s  INFO Compiled [508/630]: smol
 25.10s  INFO Compiled [509/630]: parking_lot
 25.23s  INFO Compiled [510/630]: rust_embed
 25.41s  INFO Compiled [511/630]: hyper_rustls
 25.60s  INFO Compiled [512/630]: command_fds
 25.71s  INFO Compiled [513/630]: nix
 25.77s  INFO Compiled [514/630]: schemars
 25.78s  INFO Compiled [515/630]: async_std
 25.92s  INFO Compiled [516/630]: serde_urlencoded
 26.14s  INFO Compiled [517/630]: build-script-build
 26.28s  INFO Compiled [518/630]: tempfile
 26.58s  INFO Compiled [519/630]: tokio_socks
 26.64s  INFO Compiled [520/630]: objc2_app_kit
 26.71s  INFO Compiled [521/630]: http_body_util
 26.77s  INFO Compiled [522/630]: url
 26.82s  INFO Compiled [523/630]: gpui_collections
 26.85s  INFO Compiled [524/630]: rustls_pemfile
 26.89s  INFO Compiled [525/630]: naga
 26.99s  INFO Compiled [526/630]: filetime
 27.01s  INFO Compiled [527/630]: core_graphics2
 27.05s  INFO Compiled [528/630]: xattr
 27.20s  INFO Compiled [529/630]: rustls
 27.27s  INFO Compiled [530/630]: take_until
 27.36s  INFO Compiled [531/630]: zune_inflate
 27.37s  INFO Compiled [532/630]: serde_json_lenient
 27.40s  INFO Compiled [533/630]: png
 27.40s  INFO Compiled [534/630]: dunce
 27.43s  INFO Compiled [535/630]: convert_case
 27.51s  INFO Compiled [536/630]: raw_window_handle
 27.53s  INFO Compiled [537/630]: regex
 27.56s  INFO Compiled [538/630]: shlex
 27.60s  INFO Compiled [539/630]: bit_field
 27.60s  INFO Compiled [540/630]: avif_serialize
 27.60s  INFO Compiled [541/630]: mint
 27.61s  INFO Compiled [542/630]: xmlwriter
 27.68s  INFO Compiled [543/630]: simplecss
 27.69s  INFO Compiled [544/630]: byteorder_lite
 27.70s  INFO Compiled [545/630]: unicode_vo
 27.75s  INFO Compiled [546/630]: build-script-build
 27.79s  INFO Compiled [547/630]: ctor_proc_macro
 27.85s  INFO Compiled [548/630]: color_quant
 27.91s  INFO Compiled [549/630]: pico_args
 27.92s  INFO Compiled [550/630]: fax
 27.98s  INFO Compiled [551/630]: metal
 28.01s  INFO Compiled [552/630]: lebe
 28.06s  INFO Compiled [553/630]: float_next_after
 28.26s  INFO Compiled [554/630]: data_url
 28.46s  INFO Compiled [555/630]: unicode_bidi
 28.55s  INFO Compiled [556/630]: imagesize
 28.70s  INFO Compiled [557/630]: roxmltree
 28.77s  INFO Compiled [558/630]: ipnet
 28.82s  INFO Compiled [559/630]: rustybuzz
 28.85s  INFO Compiled [560/630]: rav1e
 29.02s  INFO Compiled [561/630]: ctor
 29.80s  INFO Compiled [563/630]: lyon_tessellation
 29.98s  INFO Compiled [564/630]: gif
 30.35s  INFO Compiled [565/630]: encoding_rs
 30.65s  INFO Compiled [566/630]: tiff
 30.99s  INFO Compiled [567/630]: image_webp
 31.35s  INFO Compiled [568/630]: derive_more
 31.42s  INFO Compiled [569/630]: zed_async_tar
 31.56s  INFO Compiled [570/630]: gpui_perf
 31.60s  INFO Compiled [571/630]: core_video
 31.67s  INFO Compiled [572/630]: build-script-build
 31.80s  INFO Compiled [573/630]: pathfinder_geometry
 32.03s  INFO Compiled [574/630]: stacksafe_macro
 32.11s  INFO Compiled [575/630]: stacker
 32.19s  INFO Compiled [576/630]: dirs
 32.20s  INFO Compiled [577/630]: exr
 32.55s  INFO Compiled [578/630]: core_text
 32.85s  INFO Compiled [579/630]: gpui_util
 33.00s  INFO Compiled [580/630]: lyon_algorithms
 33.14s  INFO Compiled [581/630]: qoi
 33.24s  INFO Compiled [582/630]: blade_graphics
 33.66s  INFO Compiled [583/630]: gpui_derive_refineable
 33.69s  INFO Compiled [584/630]: cocoa_foundation
 33.75s  INFO Compiled [585/630]: float_ord
 33.75s  INFO Compiled [586/630]: crossbeam_queue
 33.80s  INFO Compiled [587/630]: lazy_static
 33.84s  INFO Compiled [588/630]: static_assertions
 33.87s  INFO Compiled [589/630]: byteorder
 33.94s  INFO Compiled [590/630]: pollster
 34.01s  INFO Compiled [591/630]: grid
 34.10s  INFO Compiled [592/630]: atomic
 34.10s  INFO Compiled [593/630]: sha1_smol
 34.23s  INFO Compiled [594/630]: pxfm
 34.25s  INFO Compiled [595/630]: svg_fmt
 34.26s  INFO Compiled [596/630]: strum_macros
 34.34s  INFO Compiled [597/630]: png
 34.36s  INFO Compiled [598/630]: postage
 34.51s  INFO Compiled [599/630]: etagere
 34.61s  INFO Compiled [600/630]: strum
 34.72s  INFO Compiled [601/630]: uuid
 34.89s  INFO Compiled [602/630]: gpui_refineable
 35.50s  INFO Compiled [603/630]: taffy
 35.55s  INFO Compiled [604/630]: lyon
 35.58s  INFO Compiled [605/630]: tiny_skia
 35.86s  INFO Compiled [606/630]: zed_font_kit
 36.13s  INFO Compiled [607/630]: gpui_util_macros
 36.29s  INFO Compiled [608/630]: resvg
 36.30s  INFO Compiled [609/630]: stacksafe
 36.43s  INFO Compiled [610/630]: blade_util
 36.54s  INFO Compiled [611/630]: cocoa
 36.57s  INFO Compiled [612/630]: gpui_sum_tree
 36.60s  INFO Compiled [613/630]: gpui_semantic_version
 36.67s  INFO Compiled [614/630]: num_cpus
 36.73s  INFO Compiled [615/630]: inventory
 36.75s  INFO Compiled [616/630]: usvg
 36.86s  INFO Compiled [617/630]: seahash
 36.87s  INFO Compiled [618/630]: blade_macros
 37.16s  INFO Compiled [621/630]: gpui_media
 37.33s  INFO Compiled [622/630]: gpui_macros
 38.27s  INFO Compiled [623/630]: moxcms
 38.79s  INFO Compiled [624/630]: gpui_http_client
 39.16s  INFO Compiled [625/630]: zed_reqwest
 39.72s  INFO Compiled [626/630]: naga
 41.11s  INFO Compiled [627/630]: ravif
 43.01s  INFO Compiled [628/630]: image
